id,daily_times
4410,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
6002,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['23'], 'dimanche': []}"
3992,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
3994,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
4000,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['11']}"
7680,"{'lundi': ['21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['20']}"
5541,"{'lundi': ['21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
11943,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['6', '10h-18h'], 'dimanche': []}"
4147,"{'lundi': [], 'mardi': ['19'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
4377,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['10'], 'dimanche': []}"
9214,"{'lundi': [], 'mardi': ['17h'], 'mercredi': [], 'jeudi': ['9h'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
4195,"{'lundi': ['14'], 'mardi': ['15', '22'], 'mercredi': ['23'], 'jeudi': ['17'], 'vendredi': ['18'], 'samedi': [], 'dimanche': []}"
9699,"{'lundi': [], 'mardi': [], 'mercredi': ['5', '19', '2', '9', '30'], 'jeudi': ['20'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
5605,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
11410,"{'lundi': [], 'mardi': [], 'mercredi': ['5', '19', '2', '9', '30'], 'jeudi': ['20'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
5607,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
6378,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['27', '31'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
4262,"{'lundi': [], 'mardi': ['06'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['03', '03'], 'dimanche': ['04']}"
4261,"{'lundi': ['21'], 'mardi': [], 'mercredi': ['16'], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
5336,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['27', '31'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
6382,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['27', '31'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
4263,"{'lundi': ['21'], 'mardi': [], 'mercredi': ['16'], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
3253,"{'lundi': [], 'mardi': [], 'mercredi': ['2'], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
3257,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['6', '10h-18h'], 'dimanche': []}"
1240,"{'lundi': ['9h'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['17h'], 'samedi': [], 'dimanche': []}"
1331,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['27', '31'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
9085,"{'lundi': ['14'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
4239,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['8']}"
